movieId,imdbId,title,year,genres,director,actors,plot,rating,runtime,language,country,poster
1,tt4154664,Captain Marvel,2019,Action|Adventure|Sci-Fi,"Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Ben Mendelsohn","After crashing an experimental aircraft, Air Force pilot Carol Danvers is discovered by the Kree and trained as a member of the elite Starforce Military under the command of her mentor Yon-Rogg. Six years later, after escaping to Earth while under attack by the Skrulls, Danvers begins to discover there's more to her past. With help from S.H.I.E.L.D. agent Nick Fury, they set out to unravel the truth.",6.7,123 min,English,"United States, Australia",https://m.media-amazon.com/images/M/MV5BZDI1NGU2ODAtNzBiNy00MWY5LWIyMGEtZjUxZjUwZmZiNjBlXkEyXkFqcGc@._V1_SX300.jpg
2,tt3067038,Marvel One-Shot: Agent Carter,2013,Short|Action|Adventure|Sci-Fi,Louis D'Esposito,"Hayley Atwell, Bradley Whitford, Dominic Cooper, Tim Trobec","A year after Captain America was lost in action, the war is over. However, Agent Peggy Carter is relegated to a desk job and frustrated at her male boss and comrades' sexist dismissal of her place in the SSR. Ordered to work late one night, Carter gets an alert that the villain, Zodiac, has been spotted. Deciding to take care of it herself, Carter is ready to show the enemies of peace why meeting this Agent 13 is bad luck for them.",7.6,15 min,N/A,USA,https://m.media-amazon.com/images/M/MV5BZDIwZTM4M2QtMWFhYy00N2VmLWFlMjItMzI3NjBjYTc0OTMxXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg
3,tt3438640,Marvel One-Shot: All Hail the King,2014,Short|Action|Sci-Fi,Drew Pearce,"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell","After the events of Iron Man 3, Trevor Slattery is an infamous icon. He's also locked up in a high-security prison. Luckily, his newfound profile has brought him celebrity and protection on the inside - and the actor has gladly agreed to an in-depth profile with a documentary filmmaker.",7.4,14 min,English,USA,https://m.media-amazon.com/images/M/MV5BZGFkMTZkMDQtNzM4Yy00YWEwLTkzOWEtZTMyNDRlNmJhYWJhXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg
4,tt2247732,Marvel One-Shot: Item 47,2012,Short|Action|Sci-Fi,Louis D'Esposito,"Lizzy Caplan, Jesse Bradford, Maximiliano Hernández, Titus Welliver","This film shows a couple - Claire and Benny - robbing banks with a piece of alien technology that they've recovered from the New York battle site. Eventually we see them in a motel room with a load of money. Their neighbor starts playing music really loud. Benny goes out to investigate, but doesn't return.",6.7,12 min,English,USA,https://m.media-amazon.com/images/M/MV5BMjNlMzAxNmQtOGEwZi00NTEyLWI0NWYtMTlhNmE2YTA3ZDVhXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg
5,tt2011109,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,2011,Short|Action|Sci-Fi,Leythum,"Clark Gregg, Jessica Manuel, Jeff Prewett, Zach Hudson",Agent Coulson stops at a convenience store and deals with a coincidental robbery during his visit.,7.3,4 min,English,USA,https://m.media-amazon.com/images/M/MV5BYmVlYTg3N2QtMWM2OS00YWQyLWI2M2MtMDc0ZjBkZjk1MTY3XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg
6,tt2011118,Marvel One-Shot: The Consultant,2011,Short|Sci-Fi,Leythum,"Clark Gregg, Maximiliano Hernández, Deborah Knox","Agents Coulson and Sitwell plan to derail General Thaddeus ""Thunderbolt"" Ross from interfering with S.H.I.E.L.D. affairs with a very special person.",6.6,4 min,English,USA,https://m.media-amazon.com/images/M/MV5BNGE4YjU5MDAtYzYzMC00M2RlLTk0NDgtNDU1MjgyMGI0MjI3XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg
7,tt9908924,Marvel Studios' Captain Marvel LIVE Red Carpet World Premiere,2019,Reality-TV,Bill Chapman,"Kerem Bürsin, Brie Larson, Kevin Feige","Higher, Further, Faster, Live from the Red Carpet in Hollywood. See exclusive interviews with celebrities and the stars of the Marvel Studios film Captain Marvel at the biggest premiere of the year and the next chapter of the Marvel Cinematic Universe.",6.2,103 min,English,United States,https://m.media-amazon.com/images/M/MV5BMjgzYjU2MDMtZWNjZC00MTM5LTk1ZWYtYzQxZjQ0YjI4OGFkXkEyXkFqcGc@._V1_SX300.jpg
8,tt3591568,Marvel Studios: Assembling a Universe,2014,Documentary|History,N/A,"Axel Alonso, Victoria Alonso, Hayley Atwell","A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D.""",7.2,43 min,English,United States,https://m.media-amazon.com/images/M/MV5BOWEzNGFjNjYtZGQ4Mi00ODEyLTlkZDYtZjFhMjZjZTdiNWZiXkEyXkFqcGc@._V1_SX300.jpg
9,tt5889204,Pokémon the Movie: Volcanion and the Mechanical Marvel,2016,Animation|Action|Adventure,Kunihiko Yuyama,"Tyler Bunch, James Carter Cathcart, Daniel J. Edwards","Ash meets the Mythical Pokémon Volcanion when it crashes down from the sky, creating a cloud of dust-and a mysterious force binds the two of them together! Volcanion despises humans and tries to get away, but it's forced to drag Ash along as it continues its rescue mission. They arrive in a city of cogs and gears, where a corrupt official has stolen the ultimate invention: the Artificial Pokémon Magearna, created 500 years ago. He plans to use its mysterious power to take control of this mechanical kingdom! Can Ash and Volcanion work together to rescue Magearna? One of the greatest battles in Pokémon history is about to unfold!",5.9,90 min,Japanese,Japan,https://m.media-amazon.com/images/M/MV5BMTk0NzI2Y2YtOGVjYi00YTUwLWEwNmEtODk1YjlhYzQ0ZTY5XkEyXkFqcGc@._V1_SX300.jpg
10,tt7728344,Marvel Rising: Secret Warriors,2018,Animation|Action|Comedy,Alfred Gimeno,"Dee Bradley Baker, Chloe Bennet, Kathreen Khavari","Teen superheroes Ms Marvel, Squirrel Girl, Quake, Patriot, America Chavez and Inferno unite to take down a threat approaching the universe.",5.5,80 min,English,United States,https://m.media-amazon.com/images/M/MV5BMGFhZGQ0ZmItMGY1Yy00NjY1LTlmYzItODhhMWQ3OWFlZWViXkEyXkFqcGc@._V1_SX300.jpg
